Date,Open,High,Low,Close,Volume,Turnover,prevclose,gappct,gapDOWN,Consgapdown,gappctHObO,gappctHObO1,gappctHObO2,gappctHObO3,gappctHObO4,gappctHObO5,gappctOLbO,gappctOLbO1,gappctOLbO2,gappctOLbO3,gappctOLbO4,gappctOLbO5
2007-12-28,6079.55,6098.6,6021.9,6079.7,87075023,53737200000.0,6081.5,-0.03206445778179426,True,2.0,0.009482609732628327,0.009482609732628327,,,,,0.009482609732628327,0.009482609732628327,,,,
2008-01-18,5907.75,5908.75,5677.0,5705.3,135839094,95330500000.0,5913.2,-0.09216667794087496,True,1.0,0.03905886335745419,0.03905886335745419,,,,,0.03905886335745419,0.03905886335745419,,,,
2008-01-21,5705.0,5705.0,4977.1,5208.8,211347217,125890900000.0,5705.3,-0.0052582686274198,True,2.0,0.12758983347940397,0.12758983347940397,,,,,0.12758983347940397,0.12758983347940397,,,,
2008-01-22,5203.35,5203.35,4448.5,4899.3,200603284,115654100000.0,5208.8,-0.1046306250959879,True,3.0,0.14507000297885023,0.14507000297885023,,,,,0.14507000297885023,0.14507000297885023,,,,
2008-02-28,5266.35,5302.85,5227.15,5285.1,108030320,66659399999.99999,5268.4,-0.03891124440056322,True,1.0,0.0074434855260286014,0.0074434855260286014,,,,,0.0074434855260286014,0.0074434855260286014,,,,
2008-02-29,5285.0,5290.8,5098.35,5223.5,165090052,79051400000.0,5285.1,-0.001892111785971198,True,2.0,0.03531693472090816,0.03531693472090816,,,,,0.03531693472090816,0.03531693472090816,,,,
2008-03-03,5222.8,5222.8,4936.05,4953.0,150762989,69007700000.0,5223.5,-0.013400976356845373,True,3.0,0.05490350003829363,0.05490350003829363,,,,,0.05490350003829363,0.05490350003829363,,,,
2008-03-07,4918.3,4918.3,4672.25,4771.6,146225530,78778900000.0,4921.4,-0.06299020603892093,True,1.0,0.05002744850863106,0.05002744850863106,,,,,0.05002744850863106,0.05002744850863106,,,,
2008-03-10,4767.8,4814.95,4620.5,4800.4,155966648,87664500000.0,4771.6,-0.07963785732249522,True,2.0,0.030894752296656777,0.030894752296656777,,,,,0.030894752296656777,0.030894752296656777,,,,
2008-03-11,4796.3,4888.5,4732.85,4865.9,158842196,79333100000.0,4800.4,-0.08540954920422163,True,3.0,0.01322894731355416,0.01322894731355416,,,,,0.01322894731355416,0.01322894731355416,,,,
2008-03-27,4828.8,4863.75,4769.6,4830.25,180115315,84037400000.0,4828.85,-0.0010354432214747175,True,1.0,0.012259774685221964,0.012259774685221964,,,,,0.012259774685221964,0.012259774685221964,,,,
2008-03-28,4830.0,4970.8,4796.35,4942.0,164141244,74872200000.0,4830.25,-0.005175715542673774,True,2.0,0.006966873706004065,0.006966873706004065,,,,,0.006966873706004065,0.006966873706004065,,,,
2008-04-03,4753.9,4833.25,4738.2,4771.6,130583246,66363900000.0,4754.2,-0.00631020991965382,True,1.0,0.0033025515892214433,0.0033025515892214433,,,,,0.0033025515892214433,0.0033025515892214433,,,,
2008-04-04,4766.7,4791.7,4632.7,4647.0,132143809,66266200000.0,4771.6,-0.10269092128427668,True,2.0,0.028111691526632683,0.028111691526632683,,,,,0.028111691526632683,0.028111691526632683,,,,
2008-04-07,4631.35,4798.55,4628.8,4761.2,124925089,64045900000.0,4647.0,-0.33677641489131993,True,3.0,0.0005505953987498638,,0.0005505953987498638,,,,0.0005505953987498638,,0.0005505953987498638,,,
2008-04-08,4760.65,4769.55,4677.8,4709.65,113783563,63003800000.0,4761.2,-0.011551709653032469,True,4.0,0.017403085713085284,0.017403085713085284,,,,,0.017403085713085284,0.017403085713085284,,,,
2008-04-09,4707.05,4758.25,4667.5,4747.05,101430145,50710700000.0,4709.65,-0.05520580085567833,True,5.0,0.008402290181748692,0.008402290181748692,,,,,0.008402290181748692,0.008402290181748692,,,,
2008-05-09,5070.85,5087.65,4969.4,4982.6,142385969,68758100000.0,5081.7,-0.21351122655803087,True,1.0,0.020006507784691072,0.020006507784691072,,,,,0.020006507784691072,0.020006507784691072,,,,
2008-05-12,4981.0,5021.75,4913.8,5012.65,151227287,66554399999.99999,4982.6,-0.03211174888613101,True,2.0,0.013491266813892755,0.013491266813892755,,,,,0.013491266813892755,0.013491266813892755,,,,
2008-05-13,5008.6,5066.0,4943.75,4957.8,158521953,72431400000.0,5012.65,-0.08079558716445936,True,3.0,0.012947729904564222,0.012947729904564222,,,,,0.012947729904564222,0.012947729904564222,,,,
2008-06-02,4869.25,4908.8,4713.0,4739.6,118396812,59912000000.0,4870.1,-0.017453440381108472,True,1.0,0.03208913076962571,0.03208913076962571,,,,,0.03208913076962571,0.03208913076962571,,,,
2008-06-03,4739.3,4739.3,4634.0,4715.9,140745401,67641300000.0,4739.6,-0.0063296480715710575,True,2.0,0.02221847108222737,0.02221847108222737,,,,,0.02221847108222737,0.02221847108222737,,,,
2008-06-25,4189.6,4264.55,4093.2,4252.65,152437781,69603600000.0,4191.1,-0.0357901266970485,True,1.0,0.023009356501814144,0.023009356501814144,,,,,0.023009356501814144,0.023009356501814144,,,,
2008-06-26,4252.6,4324.75,4230.0,4315.85,196473131,93524300000.0,4252.65,-0.0011757374813180584,True,2.0,0.005314395898979533,0.005314395898979533,,,,,0.005314395898979533,0.005314395898979533,,,,
2008-06-27,4315.3,4315.3,4119.2,4136.65,177324470,78831600000.0,4315.85,-0.012743723716074051,True,3.0,0.04544295877459281,0.04544295877459281,,,,,0.04544295877459281,0.04544295877459281,,,,
2008-06-30,4136.25,4163.0,4021.7,4040.55,144491241,65238600000.0,4136.65,-0.009669660232304794,True,4.0,0.027694167422181972,0.027694167422181972,,,,,0.027694167422181972,0.027694167422181972,,,,
2008-07-01,4039.75,4075.4,3878.2,3896.75,164469220,69399300000.0,4040.55,-0.019799284750842878,True,5.0,0.03999009839717809,0.03999009839717809,,,,,0.03999009839717809,0.03999009839717809,,,,
2008-07-02,3895.3,4107.15,3848.25,4093.35,199920144,89094400000.0,3896.75,-0.037210495926087585,True,6.0,0.012078658896619049,0.012078658896619049,,,,,0.012078658896619049,0.012078658896619049,,,,
2008-07-07,4002.0,4114.5,4002.0,4030.0,125737237,55172100000.0,4016.0,-0.348605577689243,True,1.0,0.0,,0.0,,,,0.0,,0.0,,,
2008-07-08,4028.7,4028.7,3896.05,3988.55,135090953,61668300000.0,4030.0,-0.03225806451613355,True,2.0,0.03292625412664126,0.03292625412664126,,,,,0.03292625412664126,0.03292625412664126,,,,
2008-07-14,4047.45,4118.1,4004.25,4039.7,126882896,60628700000.0,4049.0,-0.03828105705112823,True,1.0,0.010673386947337167,0.010673386947337167,,,,,0.010673386947337167,0.010673386947337167,,,,
2008-07-15,4039.3,4040.7,3835.5,3861.1,142682247,66455600000.00001,4039.7,-0.009901725375637702,True,2.0,0.05045428663382273,0.05045428663382273,,,,,0.05045428663382273,0.05045428663382273,,,,
2008-07-21,4092.2,4168.15,4072.75,4159.5,136720904,64872400000.0,4092.25,-0.001221821736213132,True,1.0,0.0047529446263623034,0.0047529446263623034,,,,,0.0047529446263623034,0.0047529446263623034,,,,
2008-07-22,4158.45,4262.45,4137.95,4240.1,165666075,75604100000.0,4159.5,-0.0252434186801342,True,2.0,0.004929721410621746,0.004929721410621746,,,,,0.004929721410621746,0.004929721410621746,,,,
2008-08-07,4515.25,4580.15,4493.7,4523.85,133711940,68896100000.0,4517.55,-0.050912552157700124,True,1.0,0.004772714689109171,0.004772714689109171,,,,,0.004772714689109171,0.004772714689109171,,,,
2008-08-08,4518.35,4546.35,4464.0,4529.5,114202272,62710900000.0,4523.85,-0.12157785956651967,True,2.0,0.012028727300895319,0.012028727300895319,,,,,0.012028727300895319,0.012028727300895319,,,,
2008-08-11,4529.35,4625.2,4529.35,4620.4,112939704,66252100000.0,4529.5,-0.0033116237995283408,True,3.0,0.0,0.0,,,,,0.0,0.0,,,,
2008-08-13,4548.05,4572.65,4497.25,4529.05,105825121,58394799999.99999,4552.25,-0.092262068208025,True,1.0,0.011169622145754813,0.011169622145754813,,,,,0.011169622145754813,0.011169622145754813,,,,
2008-08-14,4524.2,4529.8,4421.25,4430.7,95028617,55049000000.0,4529.05,-0.10708647508860278,True,2.0,0.022755404270368203,0.022755404270368203,,,,,0.022755404270368203,0.022755404270368203,,,,
2008-08-25,4317.95,4398.8,4317.95,4335.35,79239792,38846800000.0,4327.45,-0.21952882182347572,True,1.0,0.0,0.0,,,,,0.0,0.0,,,,
2008-08-26,4335.2,4345.05,4283.3,4337.5,86937484,47755700000.0,4335.35,-0.0034599282641665768,True,2.0,0.011971766008488567,0.011971766008488567,,,,,0.011971766008488567,0.011971766008488567,,,,
2008-08-27,4336.85,4364.25,4282.65,4292.1,84380597,45994900000.0,4337.5,-0.014985590778089595,True,3.0,0.012497550065139612,0.012497550065139612,,,,,0.012497550065139612,0.012497550065139612,,,,
2008-08-28,4290.75,4304.5,4201.85,4214.0,161197240,75786200000.0,4292.1,-0.031453134829113105,True,4.0,0.02071898852182011,0.02071898852182011,,,,,0.02071898852182011,0.02071898852182011,,,,
